Codigo;Descripcion;Marca;Segmento
000230;D-Keracnyl locion;K;ANNE DE PERAUDEL
007898;K-BB JABON EMOLIENT 250GR;K;BEBE
009106;K-SHAMPOO CAPUCHINA 200ML;K;CAPILLAIRES
009108;K-SHAMPOO ORTIGA 200 ML;K;CAPILLAIRES
009110;K-SHAMPOO VISON 200 ML;K;CAPILLAIRES
009111;K-SHAMPOO MANZANILLA 200M;K;CAPILLAIRES
009112;K-SHAMPOO CENTAUREA 200ML;K;CAPILLAIRES
009113;K-SHAMPOO HENA 200 ML;K;CAPILLAIRES
009114;K-SHAMPOO NOGAL 200 ML;K;CAPILLAIRES
010055;G-CR.Cont.Yeux 15 ml.Prob;G;ECLAT JEUNESSE
011881;K-SHAMPOO AVENA 200 ML;K;CAPILLAIRES
013317;A-MASCAR APACI HIDRA 40ML;A;SOINS ESSENTIELS
029853;D-REGLETA CAPILARES DUC;D;PEAUX SECHES
035064;F-COMPLEXE 5 24 AMP;F;FURTERER
035178;F-KARITE CR REVIT 100 ML;F;FURTERER
035191;F-RF 6 SHP USO FREC 250ML;F;FURTERER
035225;F-CARTHAME 6 AMP;F;FURTERER
035226;F-CARTHAME 24 AMP;F;FURTERER
035230;F-CURBICIA MASQ ARCILL200;F;FURTERER
035231;F-FIORAVANTI RINCABE 1000;F;FURTERER
035244;F-COMPLEXE 5  6 AMP;F;FURTERER
035250;F-MELALEUCA SH C GRASA250;F;FURTERER
035259;F-MELALEUCA SH C GRAS1000;F;FURTERER
035262;F-MELALEUCA SH C SECA 250;F;FURTERER
035263;F-MELALEU SHP CASPSEC1000;F;FURTERER
035265;F-MELALEUCA GEL ANTCAS100;F;FURTERER
035287;F-MELALEUCA ANT CASPA 200;F;FURTERER
035290;F-TRIPHASIC ANTICAID 8AMP;F;FURTERER
035294;F-CURBICIA M ARCILLA 125;F;FURTERER
035302;F-TRIPHASIC TRAT ANTIC 16;F;FURTERER
035311;F-CURBICIA LOCION 100ML;F;FURTERER
035352;F-KARITE CR REVIT SECO450;F;FURTERER
035362;F-OKARA SHP REPARADOR 150;F;FURTERER
035363;F-OKARA FL.DINAMISANTE 40;F;FURTERER
035373;F-SPRAY FIJACION FTE 1000;F;FURTERER
035374;F-FIORAVANTI ACOND.ABRILL;F;FURTERER
035375;F-SPRAY FIJACION SVE 1000;F;FURTERER
035376;F-OKARA SHP REPARAD1000ML;F;FURTERER
035378;F-OKARA LOC REVITAL 200;F;FURTERER
035379;F-CURBICIA SHP LCH 150ML;F;FURTERER
035380;F-CARTHAME SHP LCH 150ML;F;FURTERER
035381;F-CURBICIA SHP CR 100 ML;F;FURTERER
035382;F-CARTHAME SHP CR 100ML;F;FURTERER
035406;F-CARTHAME SHP CR 450 ML;F;FURTERER
035407;F-CURBICIA SHP CR GRAS450;F;FURTERER
035408;F-CARTAMO SHP L.SECOF1000;F;FURTERER
035472;F-OKARA ESPUMA PROCT400ML;F;FURTERER
035473;F-ESPUMA VOL 400ML;F;FURTERER
035494;F-CARTHAME CR PROT S/E 75;F;FURTERER
035507;F-FIORANVANTI BALSAMO1000;F;FURTERER
035516;F-FIORAVANTI GEL DESR 200;F;FURTERER
035562;F-OKARA LOC REVITAL 75 ML;F;FURTERER
035612;F-Cartamo cr.s/enjug.15ml;F;FURTERER
035613;F-Carthame shp lait 15ml.;F;FURTERER
035615;F-CURBICIA SHP LCHE 15 ML;F;FURTERER
035616;F-KARITE CR REVIT15ML;F;FURTERER
035621;F-Okara shp requilib.15ml;F;FURTERER
